395,Google Chrome He,S,macair,0.043957,0.576305,0
396,Google Chrome He,S,macair,0.011983,0.253010,0
399,Electron,S,macair,1.034908,1.196289,0
410,familycircled,S,macair,0.000205,0.003815,0
412,CrashReporterSup,Ss,root,0.000605,0.015640,0
420,WiFiAgent,S,macair,0.003941,0.039196,0
425,corespeechd,S,macair,0.000029,0.000095,0
427,SocialPushAgent,S,macair,0.000365,0.010777,0
431,icdd,S,macair,0.000530,0.032711,0
432,watchman,S<,macair,0.000935,0.010777,-5
434,AirPlayUIAgent,S,macair,0.003542,0.043297,0
436,cloudpaird,S,macair,0.001112,0.040913,0
438,nbagent,S,macair,0.005093,0.043583,0
439,diagnostics_agen,S,macair,0.003970,0.056744,0
442,taskgated,Ss,root,0.011362,0.041866,0
445,Code Helper,S,macair,0.832236,0.354671,0
447,TISwitcher,S,macair,0.003411,0.043774,0
491,Code Helper,S,macair,0.099466,0.458527,0
494,Docker,S,macair,0.010855,0.135803,0
497,crashpad_handler,S,macair,0.000137,0.005817,0
919,syncdefaultsd,S,macair,0.007000,0.098419,0
961,Google Chrome He,S,macair,0.106780,0.068378,0
1089,USBAgent,S,macair,0.000074,0.002480,0
1356,com.docker.super,S,macair,0.006795,0.119972,0
1359,com.docker.osxfs,S,macair,0.112936,0.006104,0
1360,com.docker.vpnki,S,macair,0.014320,0.055218,0
1361,com.docker.drive,S,macair,0.009196,0.136852,0
1362,com.docker.backe,S,macair,0.012403,0.020409,0
1368,uname,Z,macair,0.000000,0.000000,0
1577,sh,S,macair,0.000703,0.000095,0
1592,com.docker.hyper,S,macair,2.423093,0.066471,0
1765,Google Chrome He,S,macair,0.000773,0.034332,0
3739,storedownloadd,S,macair,0.002136,0.028896,0
4123,storeassetd,S,macair,0.002847,0.059986,0
4145,IMAutomaticHisto,S,macair,0.000652,0.021935,0
7818,com.apple.speech,S,macair,0.000649,0.004864,0
8155,sh,S,macair,0.000822,0.007820,0
15077,DiskUnmountWatch,S,macair,0.000032,0.029278,0
16487,storelegacy,S,macair,0.000134,0.009155,0
16492,LaterAgent,S,macair,0.003695,0.049210,0
16493,storeinstalld,Ss,root,0.000087,0.006199,0
17251,corespotlightd,S,macair,0.004396,0.033665,0
17295,mdworker,S,macair,0.000657,0.004482,0
17296,mdworker,S,_spotlight,0.000093,0.003433,0
17502,PerfPowerService,Ss,root,0.024957,0.072193,0
18017,trustd,S,macair,0.016870,0.190830,0
18237,tccd,Ss,root,0.003837,0.148487,0
18250,com.apple.Perfor,Ss,root,0.001129,0.091553,0
24006,cfprefsd,S,macair,0.008963,0.044537,0
26076,accountsd,S,macair,0.069551,0.119305,0
26091,Google Chrome He,S,macair,0.045704,1.122284,0
26096,Google Chrome He,S,macair,0.041267,0.990677,0
26133,Code Helper,S,macair,1.574505,4.261684,0
26135,Code Helper,S,macair,0.269015,1.037979,0
26136,Code Helper,S,macair,0.003332,0.517082,0
26170,trustd,Ss,root,0.018491,0.117588,0
